,Artist,Total Views,100M,Avg
1387,MC Tati Zaqui,38780000000.0,Não informado,0.02
1388,Shivam Pathak,38550000000.0,1.0,0.1
1389,Lifehouse,38470000000.0,1.0,0.06
1390,Azealia Banks,38330000000.0,1.0,0.03
1391,VIXX,38260000000.0,Não informado,0.03
1392,Normani,38200000000.0,2.0,0.14
1393,Lupe Fiasco,38180000000.0,1.0,0.04
1394,Nargiz,38120000000.0,1.0,0.05
1395,Natalie Imbruglia,38020000000.0,1.0,0.11
1396,Jazmine Sullivan,37870000000.0,Não informado,0.17
1397,Thepparit Imsudsumran,37740000000.0,1.0,0.03
1398,Nek,37390000000.0,1.0,0.1
1399,Vitaa,37360000000.0,1.0,0.07
1400,Kavinsky,37100000000.0,1.0,0.08
1401,American Authors,36920000000.0,1.0,0.05
1402,Dosseh,36790000000.0,Não informado,0.04
1403,James Morrison,36750000000.0,1.0,0.04
1404,Namika,36740000000.0,1.0,0.05
1405,La Ley,36700000000.0,1.0,0.08
1406,Gesu no Kiwami Otome,36610000000.0,Não informado,0.03
1407,Kelsea Ballerini,36590000000.0,Não informado,0.09
1408,Tom and Angela,36510000000.0,1.0,0.01
1409,K.Will,36450000000.0,1.0,0.09
1410,Giorgia,36370000000.0,Não informado,0.05
1411,Woodkid,36310000000.0,1.0,0.08
1412,Beck,36190000000.0,1.0,0.08
1413,Bomfunk MC's,36150000000.0,1.0,0.12
1414,Enigma,36020000000.0,1.0,0.11
1415,Gnarls Barkley,35810000000.0,2.0,0.24
1416,Alice Cooper,35800000000.0,1.0,0.08
1417,Guru Josh,35770000000.0,1.0,0.1
1418,Matt Hunter,35770000000.0,1.0,0.02
1419,Alice Merton,35710000000.0,1.0,0.08
1420,Cassie,35680000000.0,1.0,0.1
1421,Seeed,35650000000.0,Não informado,0.06
1422,Bad Meets Evil,35390000000.0,2.0,0.06
1423,Marc Seguí,35360000000.0,1.0,0.29
1424,Rebecca Black,35360000000.0,1.0,0.02
1425,Ruth B,35350000000.0,1.0,0.11
1426,London Grammar,35290000000.0,Não informado,0.09
1427,Priyanka Chopra,35190000000.0,1.0,0.05
1428,RUN-DMC,35090000000.0,1.0,0.09
1429,Arizona Zervas,35080000000.0,1.0,0.1
1430,Warren G,35070000000.0,1.0,0.1
1431,Mika Singh,35030000000.0,1.0,0.08
1432,Margaret,34980000000.0,Não informado,0.04
1433,Twister El Rey,34770000000.0,1.0,0.04
1434,Technotronic,34710000000.0,1.0,0.12
1435,Kate Bush,34620000000.0,1.0,0.26
1436,Gianluca Vacchi,34560000000.0,1.0,0.03
1437,Hurts,34339999999.999996,Não informado,0.05
1438,Amy Macdonald,34060000000.000004,1.0,0.12
1439,Farid Bang,34050000000.0,Não informado,0.04
1440,Claudio Capéo,33939999999.999996,1.0,0.07
1441,Sage The Gemini,33900000000.0,2.0,0.02
1442,Icona Pop,33689999999.999996,1.0,0.05
1443,Apocalyptica,33539999999.999996,Não informado,0.12
1444,Ketsumeishi,33500000000.0,2.0,0.06
1445,MC João,33189999999.999996,1.0,0.03
1446,Superfly,32989999999.999996,1.0,0.07
1447,Lena,32900000000.0,Não informado,0.03
1448,Tacabro,32670000000.0,2.0,0.05
1449,Yohani,32639999999.999996,1.0,0.07
1450,Sukima Switch,32580000000.0,1.0,0.06
1451,Natasha Bedingfield,32320000000.0,1.0,0.06
1452,Janelle Monáe,32070000000.0,Não informado,0.04
1453,Wagakki Band,31980000000.0,1.0,0.04
1454,Feder,31800000000.0,2.0,0.06
1455,CLC,31750000000.0,Não informado,0.03
1456,Klingande,31639999999.999996,1.0,0.02
1457,Ryan Higa,31400000000.0,Não informado,0.01
1458,Adel Tawil,31280000000.0,Não informado,0.04
1459,Echosmith,31250000000.0,1.0,0.05
1460,Misia,31180000000.0,Não informado,0.08
1461,Alien Ant Farm,31150000000.0,1.0,0.11
1462,Wyclef Jean,31089999999.999996,2.0,0.09
1463,Cee Lo Green,31020000000.0,1.0,0.03
1464,Ronnie Flex,30720000000.0,Não informado,0.02
1465,Evaluna Montaner,30650000000.0,2.0,0.03
1466,Paolo Nutini,30610000000.000004,Não informado,0.06
1467,Robyn,30600000000.0,Não informado,0.04
1468,Claudia Leitte,30539999999.999996,Não informado,0.03
1469,Elle King,30450000000.0,1.0,0.1
1470,Salt-N-Pepa,30430000000.0,2.0,0.08
1471,Vanessa Hudgens,30300000000.0,1.0,0.01
1472,Lykke Li,30250000000.0,Não informado,0.03
1473,Ashley Tisdale,30250000000.0,Não informado,0.01
1474,Francesco Renga,30210000000.000004,Não informado,0.03
1475,Jidenna,30139999999.999996,Não informado,0.03
1476,MC Gui,30130000000.0,Não informado,0.01
1477,Rednex,30060000000.000004,1.0,0.13
1478,Belinda,29980000000.0,Não informado,0.06
1479,Die Toten Hosen,29770000000.0,Não informado,0.08
1480,Pacheco,29560000000.000004,1.0,0.02
1481,Ermal Meta,29460000000.000004,Não informado,0.04
1482,Shontelle,29370000000.0,1.0,0.04
1483,The Veronicas,29350000000.0,1.0,0.05
1484,Israel Novaes,29330000000.0,Não informado,0.02
1485,The-Dream,29220000000.0,Não informado,0.06
1486,Olexesh,29080000000.0,1.0,0.04
1487,Manu Gavassi,28960000000.000004,Não informado,0.02
1488,DJ Sem,28860000000.000004,1.0,0.02
1489,Gianluca Grignani,28720000000.0,1.0,0.34
1490,Flower,28710000000.000004,Não informado,0.06
1491,Bausa,28600000000.0,1.0,0.04
1492,Hooverphonic,28560000000.000004,1.0,0.1
1493,Trịnh Đình Quang,28510000000.000004,1.0,0.02
1494,Kelis,28430000000.0,Não informado,0.06
1495,Near,28320000000.0,1.0,0.04
1496,O-Zone,28270000000.0,1.0,0.12
1497,Robert Miles,28210000000.000004,1.0,0.1
1498,Chyno Miranda,28189999999.999996,1.0,0.02
1499,Afroman,28080000000.0,1.0,0.11
1500,Aloe Blacc,28000000000.0,Não informado,0.03
1501,Estelle,27980000000.0,1.0,0.08
1502,Kardinal Offishall,27950000000.0,1.0,0.09
1503,Brandon Beal,27950000000.0,1.0,0.05
1504,BoA,27930000000.0,Não informado,0.05
1505,Cleopatra Stratan,27889999999.999996,Não informado,0.08
