,Artist,Total Views,100M,Avg
701,Sting,126020000000.0,3.0,0.55
702,The Neighbourhood,125520000000.0,1.0,0.55
703,Jads & Jadson,125220000000.0,1.0,0.23
704,Kim Loaiza,125209999999.99998,4.0,1.25
705,Sharry Mann,125109999999.99998,3.0,0.31
706,João Gomes,124720000000.0,4.0,1.73
707,Thirty Seconds to Mars,124720000000.0,3.0,0.18
708,Ayo & Teo,124700000000.0,2.0,0.09
709,WINNER,124400000000.0,1.0,0.12
710,NerdOut,124309999999.99998,1.0,0.21
711,OG-ANIC,124130000000.0,4.0,0.19
712,Keyshia Cole,124109999999.99998,5.0,0.32
713,Reykon,123600000000.0,2.0,0.16
714,Train,123330000000.0,4.0,0.2
715,Bruno e Barretto,122950000000.0,2.0,0.26
716,Carlos Baute,122930000000.0,1.0,0.24
717,Shaan,122930000000.0,2.0,0.88
718,Andrés Cepeda,122740000000.00002,3.0,0.27
719,Florence + The Machine,122640000000.00002,2.0,0.18
720,Limp Bizkit,122220000000.0,5.0,0.38
721,Severina,122220000000.0,1.0,0.21
722,Leona Lewis,122109999999.99998,4.0,0.27
723,Diljit Dosanjh,121909999999.99998,3.0,0.38
724,Márcia Fellipe,121559999999.99998,2.0,0.16
725,Omarion,121550000000.0,1.0,0.16
726,Bastille,121530000000.0,1.0,0.2
727,Brett Young,121530000000.0,2.0,0.38
728,Simple Plan,121380000000.0,4.0,0.24
729,Robin Thicke,120930000000.0,1.0,0.17
730,Austin Mahone,120780000000.0,2.0,0.09
731,Zé Ramalho,120470000000.0,3.0,0.35
732,Nipsey Hussle,119950000000.0,2.0,0.3
733,Jowell & Randy,119840000000.00002,1.0,0.28
734,Liam Payne,119280000000.0,3.0,0.13
735,Amenazzy,119100000000.0,1.0,0.53
736,2Pac,118320000000.0,3.0,0.38
737,Mabel Matiz,118280000000.0,2.0,0.43
738,Bushido,118270000000.0,Não informado,0.13
739,Nick Jonas,118200000000.0,2.0,0.13
740,Dynoro,118030000000.0,1.0,0.14
741,Victor & Leo,117890000000.00002,2.0,0.37
742,Mora,117759999999.99998,2.0,2.48
743,Shinedown,117550000000.0,1.0,0.35
744,Baby K,117540000000.00002,3.0,0.16
745,George Ezra,117520000000.0,4.0,0.25
746,Dire Straits,117500000000.0,5.0,0.47
747,Zak Chumpae,117470000000.0,3.0,0.04
748,Dhurata Dora,117400000000.0,1.0,0.23
749,Vicentico,116790000000.00002,3.0,0.42
750,Sohail Sen,116700000000.0,2.0,0.31
751,Basshunter,116680000000.0,2.0,0.13
752,Otilia,116440000000.00002,1.0,0.12
753,Mr. Children,116430000000.0,Não informado,0.55
754,Nightwish,115959999999.99998,2.0,0.36
755,Jax Jones,115609999999.99998,4.0,0.13
756,Benny Blanco,115380000000.0,2.0,0.26
757,Residente,115309999999.99998,3.0,0.22
758,Ministério Zoe,115009999999.99998,1.0,0.32
759,Sabrina Carpenter,114880000000.0,1.0,0.42
760,Disclosure,114530000000.0,3.0,0.17
761,Tomorrow X Together,114530000000.0,4.0,0.42
762,N Sync,114450000000.0,3.0,0.38
763,Felipe Peláez,114140000000.00002,2.0,0.23
764,Miguel Bosé,113720000000.0,2.0,0.34
765,Sade,113480000000.0,3.0,0.46
766,Bonez MC,112809999999.99998,3.0,0.28
767,Yellow Claw,112770000000.0,3.0,0.17
768,James Bay,112550000000.0,2.0,0.18
769,Alec Benjamin,112540000000.00002,1.0,0.58
770,Lexa,112250000000.0,3.0,0.14
771,Banda Tierra Sagrada,112209999999.99998,2.0,0.22
772,Club Dogo,112190000000.00002,Não informado,0.24
773,Lady Antebellum,112170000000.0,2.0,0.26
774,Kid Cudi,112080000000.0,3.0,0.23
775,The Vamps,111709999999.99998,2.0,0.12
776,August Alsina,111650000000.0,2.0,0.18
777,Momoland,111320000000.0,2.0,0.17
778,Survivor,111190000000.00002,2.0,0.39
779,Amit Kumar,111180000000.0,2.0,0.24
780,The Verve,110709999999.99998,1.0,0.33
781,Léo Magalhães,110180000000.0,1.0,0.34
782,MIKA,110090000000.00002,2.0,0.17
783,Charli XCX,110090000000.00002,3.0,0.14
784,Yella Beezy,109770000000.0,2.0,0.22
785,DVBBS,109409999999.99998,1.0,0.07
786,Sam Hunt,109150000000.0,3.0,0.12
787,Aitana,108500000000.0,4.0,0.63
788,Ludacris,108420000000.0,1.0,0.19
789,Edward Maya,108330000000.0,2.0,0.28
790,Simge,108230000000.0,4.0,0.27
791,Birdy,107930000000.0,4.0,0.2
792,Labrinth,107790000000.00002,3.0,0.4
793,The 1975,107790000000.00002,Não informado,0.4
794,Mero,107759999999.99998,2.0,0.32
795,Bhad Bhabie,107730000000.0,2.0,0.1
796,Alkilados,107730000000.0,4.0,0.18
797,The Rolling Stones,107659999999.99998,Não informado,0.28
798,R. City,107640000000.00002,1.0,0.14
799,Ben Fero,107370000000.0,3.0,0.23
800,Bazzi,107370000000.0,4.0,0.19
801,Gloria Groove,107280000000.0,2.0,0.53
802,Weird Al Yankovic,107080000000.0,2.0,0.23
803,Lizzo,106930000000.0,4.0,0.36
804,Keane,106870000000.0,2.0,0.55
805,Dan + Shay,106830000000.0,3.0,0.19
806,Boy Panomprai,106800000000.0,3.0,0.18
807,Anavitória,106759999999.99998,3.0,0.24
808,Dillon Francis,106640000000.00002,2.0,0.12
809,Bích Phương,106280000000.0,2.0,0.45
810,Hoobastank,105980000000.0,1.0,0.31
811,Wale,105809999999.99998,3.0,0.22
812,Gym Class Heroes,105670000000.0,2.0,0.4
813,Sido,105650000000.0,Não informado,0.28
814,Alesso,105540000000.00002,2.0,0.17
815,Mumford & Sons,105459999999.99998,1.0,0.14
816,Sigala,104959999999.99998,3.0,0.17
817,Lauren Daigle,104809999999.99998,2.0,0.32
818,Kylie Minogue,104700000000.0,1.0,0.41
819,DJ Hamida,104640000000.00002,1.0,0.16
820,Miguel,104640000000.00002,4.0,0.42
821,Bigflo & Oli,104600000000.0,1.0,0.2
822,Spice Girls,104590000000.00002,1.0,0.21
823,DMX,104540000000.00002,3.0,0.31
824,Aleyna Tilki,104500000000.0,3.0,0.09
825,Mike Bahía,104200000000.0,4.0,0.46
826,Bobby Shmurda,104190000000.00002,1.0,0.16
827,Aurora,104040000000.00002,1.0,0.9
828,Cher Lloyd,103609999999.99998,5.0,0.04
829,Blueface,103450000000.0,2.0,0.24
830,Dev Negi,103390000000.00002,2.0,0.23
831,Pipe Bueno,103280000000.0,4.0,0.4
832,Siti Badriah,103140000000.00002,1.0,0.09
833,Marama,102950000000.0,2.0,0.16
834,Param Singh,102900000000.0,1.0,0.25
835,Tiziano Ferro,102840000000.00002,Não informado,0.2
836,Jannine Weigel,102840000000.00002,1.0,0.06
837,Oliver Tree,102800000000.0,1.0,2.2
838,Kaaris,102759999999.99998,2.0,0.1
839,Eurythmics,102709999999.99998,1.0,0.48
840,Rocco Hunt,102640000000.00002,3.0,0.5
841,Rich The Kid,102380000000.0,2.0,0.11
842,Glass Animals,102370000000.0,2.0,0.79
843,Bryant Oden,102290000000.0,2.0,0.14
844,Enzo Rabelo,102250000000.0,3.0,0.15
845,John Mayer,101990000000.0,2.0,0.25
846,Lost Frequencies,101860000000.0,3.0,0.15
847,Potato,101710000000.0,1.0,0.14
848,The Strokes,101650000000.0,3.0,0.29
849,ScHoolboy Q,101640000000.0,2.0,0.12
850,Jasmine Sandlas,101440000000.0,2.0,0.2
851,Ghali,101440000000.0,2.0,0.13
852,Darell,101430000000.0,2.0,0.37
853,Min,101350000000.0,5.0,0.17
854,Leslie Grace,100860000000.0,3.0,0.13
855,Alonzo,100330000000.0,2.0,0.1
856,Léo Santana,100210000000.0,1.0,0.38
857,Phan Mạnh Quỳnh,99890000000.0,2.0,0.1
858,Bomba Estéreo,99760000000.0,3.0,0.18
859,The Offspring,99510000000.0,1.0,0.5
860,Ultimo,99470000000.0,Não informado,0.33
861,Humberto e Ronaldo,99340000000.0,1.0,0.35
862,Leandro Borges,99300000000.0,1.0,0.44
863,João Neto e Frederico,99170000000.0,2.0,0.06
864,Vegedream,99130000000.0,1.0,0.51
865,Alex Campos,99120000000.0,1.0,0.48
866,Sasa Kovacevic,98530000000.0,Não informado,0.12
867,Fedez,98490000000.0,2.0,0.23
868,Trúc Nhân,98140000000.0,3.0,0.95
869,IZ*ONE,97960000000.0,2.0,0.24
870,Café Tacvba,97750000000.0,1.0,0.23
871,DNCE,97570000000.0,3.0,0.16
872,Jack Harlow,96990000000.0,2.0,0.42
873,Gen Hoshino,96800000000.0,1.0,0.17
874,Papa Roach,96630000000.0,2.0,0.22
875,Miranda Lambert,96270000000.0,1.0,0.22
876,Olly Murs,96200000000.0,3.0,0.13
877,Juan Luis Guerra,96000000000.0,1.0,0.44
878,Wonder Girls,95840000000.0,2.0,0.17
879,K Camp,95790000000.0,2.0,0.2
880,Dido,95720000000.0,2.0,0.42
881,Led Zeppelin,95420000000.0,3.0,0.44
882,Jay-Z,95300000000.0,1.0,0.56
883,Alex Sensation,95220000000.0,2.0,0.18
884,Henrique & Diego,94690000000.0,2.0,0.06
885,Sonu Nigam,94570000000.0,2.0,0.48
886,Soobin Hoàng Sơn,94270000000.0,1.0,0.22
887,Of Monsters and Men,94080000000.0,1.0,0.15
888,João Bosco e Vinícius,94020000000.0,2.0,0.23
889,Yash Narvekar,93810000000.0,2.0,0.27
890,Creed,93490000000.0,3.0,0.28
891,Vengaboys,93480000000.0,3.0,0.34
892,Pooh Shiesty,93310000000.0,2.0,0.43
893,Tony Kakkar,92950000000.0,2.0,0.14
894,25hours,92930000000.0,1.0,0.15
895,Monsta X,92780000000.0,1.0,5.27
896,Abu,92570000000.0,1.0,0.23
897,Boyz II Men,92550000000.0,4.0,0.28
898,Axel,92290000000.0,2.0,0.11
899,GFriend,92200000000.0,Não informado,0.11
900,Ivete Sangalo,92120000000.0,Não informado,0.2
901,Years & Years,91750000000.0,2.0,0.13
902,Rachel Platten,91520000000.0,2.0,0.14
903,RKM & Ken-Y,91380000000.0,2.0,0.17
904,The Wanted,91240000000.0,2.0,0.08
905,Pikotaro,91040000000.0,3.0,0.15
906,John Lennon,90800000000.0,4.0,0.23
907,Bump of Chicken,90730000000.0,1.0,0.25
908,Savage Garden,90270000000.0,3.0,0.32
909,Brad Paisley,90270000000.0,2.0,0.15
910,MC Doni,90260000000.0,3.0,0.15
911,Apink,90250000000.0,Não informado,0.09
912,Julieta Venegas,90240000000.0,2.0,0.39
913,Rich Gang,90210000000.0,2.0,0.21
914,Tinie Tempah,90010000000.0,2.0,0.11
915,RASA,90010000000.0,2.0,0.63
916,Tame Impala,89480000000.0,3.0,0.37
917,Why Don't We,89230000000.0,1.0,0.19
918,Busta Rhymes,88930000000.0,1.0,0.25
919,Capital Cities,88920000000.0,2.0,0.26
920,Mahmut Orhan,88890000000.0,3.0,0.19
921,Ana Carolina,88560000000.0,2.0,0.25
922,KSI,88550000000.0,1.0,0.07
923,AnnenMayKantereit,88380000000.0,Não informado,0.36
924,Kenny Chesney,88350000000.0,Não informado,0.15
925,Keen'V,88330000000.0,1.0,0.22
926,Juicy J,88260000000.0,1.0,0.11
927,Fat Joe,88090000000.0,2.0,0.23
928,Steve Aoki,88090000000.0,1.0,0.06
929,Seether,87770000000.0,1.0,0.25
930,Fly Project,87690000000.0,1.0,0.17
931,Michael Bolton,87320000000.0,3.0,0.29
932,AOA,87310000000.0,Não informado,0.09
933,Leo Rojas,87300000000.0,2.0,0.22
934,Big Ass,87250000000.0,2.0,0.18
935,Jamiroquai,86900000000.0,1.0,0.22
936,TLC,86690000000.0,3.0,0.22
937,Jess Glynne,86240000000.0,4.0,0.15
938,Kiesza,86210000000.0,2.0,0.14
939,King,86070000000.0,2.0,4.93
940,Jassi Gill,86070000000.0,1.0,0.12
941,Hamza Namira,85880000000.0,2.0,0.36
942,Delia,85810000000.0,Não informado,0.11
943,Tuğçe Kandemir,85800000000.0,3.0,0.21
944,KC Rebell,85480000000.0,Não informado,0.07
945,Ja Rule,85200000000.0,3.0,0.28
946,Culture Club,84980000000.0,2.0,0.25
947,Jay Sean,84950000000.0,2.0,0.23
948,Vasco Rossi,84620000000.0,Não informado,0.14
949,Marco Mengoni,84590000000.0,2.0,0.18
950,Lilly Wood & The Prick,83910000000.0,1.0,0.17
951,Daughtry,83770000000.0,2.0,0.26
952,CKay,83670000000.0,2.0,0.79
953,Mr Probz,83520000000.0,1.0,0.18
954,gnash,83470000000.0,1.0,0.2
955,deadmau5,83420000000.0,Não informado,0.09
956,Vance Joy,83370000000.0,1.0,0.19
957,Altamash Faridi,83190000000.0,1.0,0.2
958,Midian Lima,82720000000.0,2.0,0.24
959,Tinashe,82560000000.0,1.0,0.11
960,Thaeme & Thiago,82460000000.0,Não informado,0.05
961,Big Time Rush,82440000000.0,1.0,0.08
962,NAV,82380000000.0,Não informado,0.14
963,The Prodigy,82360000000.0,1.0,0.2
964,ChocQuibTown,82190000000.0,1.0,0.1
965,Maite Perroni,82120000000.0,3.0,0.14
966,Lil Xan,82120000000.0,2.0,0.09
967,X Ambassadors,82080000000.0,2.0,0.19
968,Sum 41,82070000000.0,2.0,0.17
969,365 DaBand,81900000000.0,1.0,0.1
970,Tony Dize,81860000000.0,2.0,0.25
971,BNK48,81760000000.0,2.0,0.09
972,PnB Rock,81700000000.0,Não informado,0.13
973,O.T. Genasis,81670000000.0,2.0,0.08
974,KYLE,81500000000.0,2.0,0.09
975,Far East Movement,81490000000.0,2.0,0.1
976,J Soul Brothers,81310000000.0,1.0,0.05
977,Hebe Tien,81170000000.0,1.0,0.04
978,The Cure,81160000000.0,1.0,0.26
979,EXID,80950000000.0,1.0,0.08
980,Oras Sattar,80790000000.0,1.0,0.12
981,Faydee,80630000000.0,1.0,0.15
982,Burak Yeter,80530000000.0,1.0,0.19
983,Sekai no Owari,80290000000.0,1.0,0.15
984,Kodaline,80070000000.0,2.0,0.24
985,T-ara,79910000000.0,Não informado,0.15
986,La Quinta Estación,79790000000.0,1.0,0.24
987,Mario,79710000000.0,2.0,0.28
988,Loredana Zefi,79570000000.0,Não informado,0.09
989,Sophia Grace,79480000000.0,1.0,0.03
990,Il Volo,79450000000.0,1.0,0.17
991,Polina Gagarina,79400000000.0,1.0,0.24
992,T_T,79270000000.0,2.0,0.05
993,Deorro,79000000000.0,2.0,0.1
994,Redfoo,78970000000.0,2.0,0.14
995,Eric Clapton,78930000000.0,2.0,0.27
996,SanLuis,78750000000.0,2.0,0.19
997,Atitude 67,78630000000.0,1.0,0.15
998,Rusherking,78610000000.0,2.0,1.14
999,SCH,78530000000.0,1.0,0.11
1000,Måneskin,78500000000.0,2.0,0.58
1001,The White Stripes,78440000000.0,1.0,0.3
1002,Weezer,78240000000.0,1.0,0.18
1003,Pia Mia,78220000000.0,1.0,0.1
1004,Queen Naija,78050000000.0,2.0,0.26
1005,Niall Horan,77730000000.0,1.0,0.11
1006,Kalash,77720000000.0,1.0,0.14
1007,Douzi,77570000000.0,Não informado,0.17
1008,Kool & The Gang,77520000000.0,4.0,0.23
1009,Breaking Benjamin,77470000000.0,1.0,0.2
1010,M83,77400000000.0,2.0,0.22
1011,Stormzy,77250000000.0,2.0,0.22
1012,JustaTee,77090000000.0,3.0,0.31
1013,Nicky Romero,77010000000.0,1.0,0.03
1014,Spitz,76560000000.0,1.0,0.19
1015,AAA,76460000000.0,2.0,0.07
1016,GTK,76370000000.0,2.0,0.1
1017,Takagi & Ketra,76350000000.0,3.0,0.08
1018,MC Hammer,76310000000.0,1.0,0.18
1019,Pepe Quintana,75900000000.0,3.0,0.15
1020,Cascada,75870000000.0,1.0,0.1
1021,Kungs,75830000000.0,1.0,0.23
1022,Osmani Garcia,75810000000.0,1.0,0.08
1023,Pet Shop Boys,75750000000.0,2.0,0.3
1024,Bullet For My Valentine,75650000000.0,1.0,0.16
1025,Rich Homie Quan,75520000000.0,2.0,0.13
1026,Central Cee,75230000000.0,1.0,1.57
1027,Marcela Gándara,74970000000.0,2.0,0.23
1028,Alessandra Amoroso,74910000000.0,1.0,0.16
1029,Bob Sinclar,74690000000.0,2.0,0.25
1030,Irama,74600000000.0,2.0,0.33
1031,Keri Hilson,74350000000.0,2.0,0.16
1032,Çağatay Akman,74270000000.0,2.0,0.05
1033,Sofia Carson,74200000000.0,3.0,0.24
1034,O Rappa,74120000000.0,1.0,0.19
1035,Paulina Rubio,74030000000.0,1.0,0.14
1036,Tiago Iorc,73970000000.0,2.0,0.14
1037,La Factoría,73810000000.0,1.0,0.22
1038,PARTYNEXTDOOR,73760000000.0,2.0,0.28
1039,Ozan Doğulu,73640000000.0,2.0,0.08
1040,Pawni Pandey,73410000000.0,1.0,0.2
1041,Murat Boz,72790000000.0,2.0,0.13
1042,John Denver,72710000000.0,1.0,0.18
1043,Leonard Cohen,72670000000.0,2.0,0.22
1044,Utada Hikaru,72390000000.0,Não informado,0.4
1045,Heart,72320000000.0,2.0,0.32
1046,Thiago Brava,72100000000.0,1.0,0.03
1047,Within Temptation,71990000000.0,1.0,0.2
1048,A Great Big World,71950000000.0,1.0,0.13
1049,KAZKA,71660000000.0,1.0,0.15
1050,JayDaYoungan,71630000000.0,1.0,0.29
1051,Silva Gunbardhi,71430000000.0,1.0,0.13
1052,City Girls,71230000000.0,1.0,0.19
1053,Oriente,70650000000.0,2.0,0.14
1054,Andy & Lucas,70380000000.0,2.0,0.23
1055,Bloodhound Gang,70020000000.0,1.0,0.1
1056,Louis Tomlinson,69940000000.0,1.0,0.07
1057,Ece Seçkin,69880000000.0,3.0,0.06
1058,Prince,69670000000.0,Não informado,0.35
1059,Duran Duran,69640000000.0,1.0,0.37
1060,Jovanotti,69610000000.0,Não informado,0.11
1061,La Fouine,69590000000.0,Não informado,0.12
1062,Jordin Sparks,69500000000.0,1.0,0.21
1063,Extreme,69330000000.0,1.0,0.22
1064,Gabriel Diniz,69270000000.0,2.0,0.09
1065,Pearl Jam,69180000000.0,2.0,0.18
1066,The Fray,69110000000.0,2.0,0.1
1067,Snow Patrol,69050000000.0,1.0,0.12
1068,Modà,69030000000.0,Não informado,0.14
1069,Haikaiss,68980000000.0,1.0,0.07
1070,Nico & Vinz,68880000000.0,1.0,0.16
1071,Paty Cantú,68770000000.0,Não informado,0.09
1072,Travie McCoy,68640000000.0,1.0,0.12
1073,OrelSan,68550000000.0,1.0,0.16
1074,Marina and the Diamonds,68470000000.00001,1.0,0.12
1075,Goo Goo Dolls,68390000000.0,1.0,0.3
1076,MC Rodolfinho,68129999999.99999,2.0,0.06
1077,Rise Against,68050000000.0,2.0,0.1
1078,LOONA,68010000000.0,Não informado,0.11
1079,Lily Allen,67910000000.0,2.0,0.09
1080,Kyary Pamyu Pamyu,67820000000.00001,1.0,0.07
1081,UB40,67740000000.0,1.0,0.19
1082,India Martínez,67510000000.0,2.0,0.33
1083,Nicole Scherzinger,67440000000.0,1.0,0.06
1084,Lilly Goodman,67390000000.0,1.0,0.22
1085,Staind,67360000000.0,2.0,0.2
1086,Blue,67260000000.0,3.0,0.38
1087,Little Big Town,67210000000.0,2.0,0.15
1088,t.A.T.u.,66979999999.99999,2.0,0.22
1089,The Chipettes,66860000000.0,1.0,0.04
1090,Trio Parada Dura,66729999999.99999,2.0,0.3
1091,Julia Michaels,66690000000.0,1.0,0.08
1092,Bảo Anh,66570000000.00001,1.0,0.08
1093,IAmChino,66500000000.0,1.0,0.07
1094,Helene Fischer,66440000000.0,Não informado,0.2
1095,Rema,66410000000.0,1.0,1.82
1096,DJ Antoine,66229999999.99999,1.0,0.06
1097,The Fugees,66140000000.0,2.0,0.5
1098,M.I.A.,66120000000.00001,2.0,0.14
1099,Biel,65870000000.00001,1.0,0.02
1100,Monica,65860000000.0,2.0,0.21
1101,Burak King,65829999999.99999,2.0,0.1
1102,Mustard,65800000000.0,2.0,0.13
1103,Dawin,65760000000.0,2.0,0.06
1104,Lali,65729999999.99999,1.0,0.15
1105,Perfume,65629999999.99999,Não informado,0.08
1106,Isaias Saad,65540000000.0,1.0,0.65
1107,Sak Noel,65490000000.0,1.0,0.1
1108,Yemi Alade,65450000000.0,1.0,0.13
1109,K.A.R.D,65420000000.00001,Não informado,0.11
1110,Ace of Base,65360000000.0,3.0,0.28
1111,Maxim Fadeev,65320000000.00001,2.0,0.16
1112,Daoko,65260000000.0,1.0,0.14
1113,Adam Lambert,65070000000.00001,2.0,0.19
1114,Ace Hood,65000000000.0,1.0,0.08
1115,KeBlack,64860000000.0,2.0,0.06
1116,Cleber e Cauan,64829999999.99999,1.0,0.11
1117,Norm Ender,64800000000.0,1.0,0.12
1118,Feduk,64529999999.99999,2.0,0.11
1119,Sophana,64500000000.0,3.0,0.16
1120,Reyli Barba,64429999999.99999,1.0,0.14
1121,Anna Kendrick,64279999999.99999,1.0,0.04
1122,Cro,64040000000.0,Não informado,0.05
1123,Madcon,64000000000.0,3.0,0.11
1124,Martin Solveig,63979999999.99999,2.0,0.04
1125,Saif Nabeel,63650000000.0,2.0,0.16
1126,SDP,63520000000.00001,Não informado,0.14
1127,Kevvo,63279999999.99999,1.0,0.17
1128,Felix Jaehn,63210000000.0,1.0,0.16
1129,Block B,63020000000.00001,Não informado,0.05
1130,Shiina Ringo,62970000000.00001,Não informado,0.17
1131,BABYMETAL,62860000000.0,1.0,0.14
1132,Armada,62660000000.0,2.0,0.16
1133,Magic System,62650000000.0,1.0,0.2
1134,Dierks Bentley,62429999999.99999,1.0,0.1
1135,The Black Keys,62240000000.0,1.0,0.12
1136,Sarah Farias,62150000000.0,2.0,0.24
1137,MGMT,62129999999.99999,3.0,0.17
1138,Fabio Rovazzi,62120000000.00001,3.0,0.04
1139,Smash Mouth,61740000000.0,1.0,0.17
1140,Sakanaction,61520000000.00001,1.0,0.12
1141,Mark Forster,61450000000.0,1.0,0.08
1142,Summer Cem,61440000000.0,1.0,0.07
1143,Iyaz,61329999999.99999,2.0,0.2
1144,Livres,61220000000.00001,1.0,0.18
1145,Bella Poarch,61190000000.0,2.0,0.4
1146,Fabri Fibra,61150000000.0,Não informado,0.14
1147,Dean Lewis,61100000000.0,2.0,0.45
1148,Alanis Morissette,61070000000.00001,1.0,0.18
1149,AWOLNATION,61020000000.00001,1.0,0.11
1150,Tayrone,60870000000.00001,1.0,0.6
1151,Amit Mishra,60860000000.0,2.0,0.06
1152,Bizzey,60740000000.0,1.0,0.09
1153,Masked Wolf,60490000000.0,2.0,0.21
1154,RIDSA,60490000000.0,1.0,0.14
1155,Vũ Duy Khánh,60360000000.0,1.0,0.04
1156,Lola Indigo,60170000000.00001,1.0,0.53
1157,Stefflon Don,60140000000.0,2.0,0.1
1158,2PM,59979999999.99999,Não informado,0.07
1159,Beast,59950000000.0,1.0,0.07
1160,R.I.O.,59929999999.99999,1.0,0.03
1161,Pentagon,59920000000.00001,1.0,0.07
1162,Noah Cyrus,59740000000.0,2.0,0.08
1163,Gradur,59710000000.0,2.0,0.05
1164,Millind Gaba,59670000000.00001,1.0,0.13
1165,Sylwia Grzeszczak,59650000000.0,1.0,0.11
1166,ZAZ,59629999999.99999,Não informado,0.17
1167,BlocBoy JB,59570000000.00001,1.0,0.07
1168,Max Jenmana,59510000000.0,2.0,0.07
1169,Kat DeLuna,59460000000.0,2.0,0.08
1170,Louane,59179999999.99999,Não informado,0.11
1171,Vázquez Sounds,58990000000.0,1.0,0.04
1172,Alexio La Bestia,58750000000.0,2.0,0.24
1173,Sumit Goswami,58690000000.0,1.0,0.08
1174,Blondie,58670000000.00001,1.0,0.31
1175,Loubet,58479999999.99999,Não informado,0.12
1176,BOL4,58390000000.0,1.0,0.15
1177,ZHU,58379999999.99999,2.0,0.18
1178,Lil Jon,58360000000.0,2.0,0.14
1179,Netta,58350000000.0,2.0,0.22
1180,The Smashing Pumpkins,58310000000.0,1.0,0.18
1181,Charlie Brown Jr.,58010000000.0,1.0,0.2
1182,Nekfeu,57929999999.99999,1.0,0.07
1183,Rascal Flatts,57570000000.00001,1.0,0.1
1184,miss A,57479999999.99999,1.0,0.06
1185,Khaled,57450000000.0,1.0,0.27
1186,Matchbox Twenty,57390000000.0,1.0,0.18
1187,DeJ Loaf,57290000000.0,2.0,0.13
1188,Cheat Codes,57140000000.0,2.0,0.07
1189,E-Girls,56820000000.00001,Não informado,0.03
1190,Luther Vandross,56500000000.0,2.0,0.21
1191,Ligabue,56490000000.0,Não informado,0.07
1192,Girl's Day,56340000000.0,Não informado,0.06
1193,Enya,56129999999.99999,1.0,0.22
1194,Zay & Zayion,55960000000.0,1.0,0.03
1195,Mithoon,55910000000.0,1.0,0.21
1196,MC Brinquedo,55840000000.0,1.0,0.04
1197,Emis Killa,55800000000.0,Não informado,0.08
1198,The Calling,55740000000.0,1.0,0.13
1199,Bone Thugs-N-Harmony,55720000000.00001,2.0,0.13
1200,Hoàng Thuỳ Linh,55690000000.0,1.0,0.58
1201,Ahmed Chawki,55610000000.0,2.0,0.07
1202,Kelly Rowland,55429999999.99999,1.0,0.1
1203,D.R.A.M.,55320000000.00001,1.0,0.05
1204,Portugal. The Man,55300000000.0,1.0,0.09
1205,Scooter,55179999999.99999,Não informado,0.09
1206,WALK THE MOON,55150000000.0,1.0,0.08
1207,Empire Of The Sun,55120000000.00001,3.0,0.18
1208,George Strait,55090000000.0,1.0,0.23
1209,Ashanti,55029999999.99999,1.0,0.17
1210,Aminé,54829999999.99999,1.0,0.06
1211,Bow Wow,54740000000.0,2.0,0.11
1212,Rochak Kohli,54640000000.0,1.0,0.01
1213,Sara Bareilles,54529999999.99999,2.0,0.08
1214,Y2K,54520000000.00001,1.0,0.11
1215,f(x),54490000000.0,1.0,0.04
1216,The All-American Rejects,54470000000.00001,2.0,0.09
1217,Kay One,54460000000.0,2.0,0.04
1218,Lary Over,54340000000.0,1.0,0.05
1219,K'Naan,54150000000.0,1.0,0.32
1220,Sevyn Streeter,53790000000.0,1.0,0.11
1221,Malú,53760000000.0,Não informado,0.06
1222,Bridgit Mendler,53670000000.00001,2.0,0.04
